title,author,year,country,language,pages,imageLink,price
Things Fall Apart,Chinua Achebe,1958,Nigeria,English,209,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,155
Fairy tales,Hans Christian Andersen,1836,Denmark,Danish,784,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,442
The Divine Comedy,Dante Alighieri,1315,Italy,Italian,928,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,514
The Epic Of Gilgamesh,Unknown,-1700,Sumer and Akkadian Empire,Akkadian,160,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,130
The Book Of Job,Unknown,-600,Achaemenid Empire,Hebrew,176,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,138
One Thousand and One Nights,Unknown,1200,India/Iran/Iraq/Egypt/Tajikistan,Arabic,288,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,194
Njál's Saga,Unknown,1350,Iceland,Old Norse,384,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,242
Pride and Prejudice,Jane Austen,1813,United Kingdom,English,226,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,163
Le Père Goriot,Honoré de Balzac,1835,France,French,443,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,272
"Molloy, Malone Dies, The Unnamable, the trilogy",Samuel Beckett,1952,Republic of Ireland,"French, English",256,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,178
The Decameron,Giovanni Boccaccio,1351,Italy,Italian,1024,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,562
Ficciones,Jorge Luis Borges,1965,Argentina,Spanish,224,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,162
Wuthering Heights,Emily Brontë,1847,United Kingdom,English,342,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,221
The Stranger,Albert Camus,1942,"Algeria, French Empire",French,185,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,143
Poems,Paul Celan,1952,"Romania, France",German,320,https://template.canva.com/EADaopxBna4/1/0/251w-ujD6UPGa9hw.jpg,210
